sla_id,service_type,slice_type,latency_ms,throughput_dl_mbps,throughput_ul_mbps,intensidade_semantica,timestamp
dec-d0441918-8609-4eac-bb47-ac825fcb3de0,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:25.649773+00:00
dec-accbef1a-4a08-44b8-ba7e-32f358d709b4,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:55.569177+00:00
dec-a8bbe640-2c1f-420a-aef0-6f280d7e3c28,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:27.969991+00:00
dec-839b78b1-2cd5-41cd-b109-4b2ada994d6e,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:25.468448+00:00
dec-d0a1c72b-7033-49de-8804-9d342a6b917a,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:17.083373+00:00
dec-ad3164e0-e320-4c17-92e6-83187030f932,mMTC,mMTC,,,,estrito,2026-01-20T20:13:05.116889+00:00
dec-00c38495-e16b-4848-876d-854e8be867c7,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:41.129452+00:00
dec-793045b3-509d-46bc-90d7-45898d0a8a20,URLLC,URLLC,50,,,relaxado,2026-01-20T20:12:46.983351+00:00
dec-67f6cac5-2bd6-407a-b3a7-c9dcba76dc36,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:18.285689+00:00
dec-b1fbc5cb-935e-4506-8138-b67dcb6832fa,eMBB,eMBB,,100,50,estrito,2026-01-20T20:12:57.949288+00:00
dec-9973ff6d-43af-461d-b546-595eecda5079,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:13.519467+00:00
dec-5ab8ed09-0de5-410b-937b-b5828ce0bbc9,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:14.722284+00:00
dec-4f38af1f-ae85-4722-a564-5a37b59abf78,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:36.345538+00:00
dec-d1edbd19-ffe0-41aa-98de-fa343ea59d54,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:29.227809+00:00
dec-22ae13ff-e078-47bd-ab44-6fdd00088f02,URLLC,URLLC,50,,,relaxado,2026-01-20T20:12:53.013552+00:00
dec-01bb31b2-f4bc-415c-89f2-7cd9d914ae83,mMTC,mMTC,,,,estrito,2026-01-20T20:13:06.317386+00:00
dec-d6765afb-88e6-4a59-85fc-01e274bb3219,URLLC,URLLC,50,,,relaxado,2026-01-20T20:12:50.571574+00:00
dec-3b9ba48f-d9ec-4069-8a23-1d9d60b1adaa,mMTC,mMTC,,,,estrito,2026-01-20T20:14:06.525220+00:00
dec-1f860196-6dc3-49a2-bd7d-4e4c3e53d658,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:48.396008+00:00
dec-b9428bb6-4fcd-4ed9-9cc8-959b0f224fc1,URLLC,URLLC,50,,,relaxado,2026-01-20T20:12:54.227787+00:00
dec-6d839e69-c85f-4a58-932a-304730ff62b4,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:56.834035+00:00
dec-a0f3eeb4-8087-4a33-93f3-5dec8fc665bd,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:33.972716+00:00
dec-83fef25c-ba0a-4384-b8b5-f63c64451287,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:08.732837+00:00
dec-f1f2efb0-74d6-4f62-b25b-096a089a7e71,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:44.729685+00:00
dec-e31fb78c-9614-413b-9c22-2bbb998abfb3,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:59.228110+00:00
dec-06739426-101d-4392-9c42-f65f2ae8c0e2,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:20.897622+00:00
dec-8a83691e-544c-4a3c-917d-ecfad7171995,URLLC,URLLC,50,,,relaxado,2026-01-20T20:12:55.427482+00:00
dec-5da17586-c9e9-4f57-a61e-32cc87d413fe,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:02.949548+00:00
dec-c2ff2507-62de-467d-8c69-824040617da6,mMTC,mMTC,,,,estrito,2026-01-20T20:13:34.083132+00:00
dec-8cb6bcd8-bbf2-4365-bd13-c10003e333bc,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:05.333583+00:00
dec-92827529-17aa-4bb9-9672-a13354539778,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:42.321454+00:00
dec-8a9037b9-e166-4a44-a38d-23d28e16326e,mMTC,mMTC,,,,estrito,2026-01-20T20:13:37.665334+00:00
dec-935ace6c-4dda-4e80-b9b4-8940098c370a,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:15.902595+00:00
dec-5670d982-4b8e-4cdf-9889-f7767fe8da0e,mMTC,mMTC,,,,estrito,2026-01-20T20:14:13.731514+00:00
dec-b776acdd-2f66-44e7-9af9-cf37443f9139,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:01.545665+00:00
dec-c7c42074-dffa-4475-929e-9d39bc3b58b7,eMBB,eMBB,,100,50,estrito,2026-01-20T20:12:56.714679+00:00
dec-0d2f96eb-1ca3-427a-839d-34bf24ce8391,mMTC,mMTC,,,,estrito,2026-01-20T20:13:32.890380+00:00
dec-8ede0f10-aa83-4727-9ae7-dfce139c2799,eMBB,eMBB,,100,50,estrito,2026-01-20T20:12:59.168802+00:00
dec-70c21d69-17ec-4681-aba2-4964f4c5ee36,mMTC,mMTC,,,,estrito,2026-01-20T20:14:11.339814+00:00
dec-f4efeb17-37a5-400f-8dba-3a4d473cbbd9,mMTC,mMTC,,,,estrito,2026-01-20T20:14:04.133300+00:00
dec-dec3511f-a445-47f2-94f5-00189a7a5342,mMTC,mMTC,,,,estrito,2026-01-20T20:14:08.923249+00:00
dec-9e3971e4-651f-4da6-97cc-9884cdba18b6,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:37.542418+00:00
dec-b71ecdd2-f6a8-491b-999e-ba49e9c85d65,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:01.707887+00:00
dec-ba56e029-8b84-42a3-adfa-3ca94647169f,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:31.574572+00:00
dec-e2e95db7-ed1d-4f92-b634-28edb454f0cf,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:47.190876+00:00
dec-035f6f32-4936-4279-a84e-3b514e17efc4,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:20.670657+00:00
dec-8b3113da-520c-4edd-b92b-0caed19e6515,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:26.833671+00:00
dec-7c675731-cc3d-4fdd-a5be-eec75b28019d,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:30.357909+00:00
dec-796baca8-3ad7-45ea-bfd7-4ab02d6a57ce,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:00.340261+00:00
dec-578df757-529c-4f3a-b327-965bc702ac22,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:26.783091+00:00
dec-abd4bf29-fda7-407a-9f5b-8422fe67e5a7,mMTC,mMTC,,,,estrito,2026-01-20T20:14:43.529265+00:00
dec-92175e0b-9cdc-4f16-a83c-4755e49da0c9,mMTC,mMTC,,,,estrito,2026-01-20T20:13:03.926658+00:00
dec-75b7b2e7-3bdd-4c31-b6d8-a0863a228041,mMTC,mMTC,,,,estrito,2026-01-20T20:14:22.082294+00:00
dec-8467d7fb-cec2-49f5-b727-811b27c963cd,mMTC,mMTC,,,,estrito,2026-01-20T20:14:24.449230+00:00
dec-f7463d5f-2d02-4113-a4db-374febcb36d6,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:21.884341+00:00
dec-23d568a0-48b9-4ed6-af1c-d4859f0c216a,mMTC,mMTC,,,,estrito,2026-01-20T20:13:40.039461+00:00
dec-f17fdcec-aaa4-40f2-b1a9-a09aa389327b,mMTC,mMTC,,,,estrito,2026-01-20T20:14:23.278755+00:00
dec-4e1afc8e-93be-4c3b-97c3-4f7ca264267c,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:18.498184+00:00
dec-f1b3dd3c-ce2c-4aa4-bea3-639308121aa1,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:12.319011+00:00
dec-c9fda76d-6913-42d5-9fa7-3d8690baec09,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:39.940920+00:00
dec-59896d6b-47f0-4fb7-a4e4-3db4cec4338e,mMTC,mMTC,,,,estrito,2026-01-20T20:13:54.365736+00:00
dec-541b7d46-4e13-4264-bfb0-97a6917cfddb,mMTC,mMTC,,,,estrito,2026-01-20T20:13:43.622567+00:00
dec-bc2668af-cf66-43bc-8a48-3ff8a4c4aedb,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:07.714008+00:00
dec-a6dc254e-e0c5-4ef8-8798-872bb42b9274,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:09.922582+00:00
dec-f298de0b-b721-4986-8980-42b1b56a052b,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:00.409580+00:00
dec-b1ce64df-d8f4-4ff3-bdf6-ce3abe5b3373,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:14.930428+00:00
dec-eddc2494-9753-4017-8817-1db36df7e796,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:53.189958+00:00
dec-26d67896-a790-4a1b-8903-41a08262e1e7,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:17.282914+00:00
dec-7ba3ac25-976b-4228-b2f9-7ba8b479147c,mMTC,mMTC,,,,estrito,2026-01-20T20:13:42.416931+00:00
dec-afe81af5-757f-4782-abf7-1c61751366c7,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:51.985336+00:00
dec-415115e7-724f-461d-a74d-618519f82d4e,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:29.179348+00:00
dec-756f64f9-c854-4e38-9971-b7dc35a668f6,mMTC,mMTC,,,,estrito,2026-01-20T20:13:07.523125+00:00
dec-4dc5fe43-d124-4f41-aa9a-c35dc196f5bc,mMTC,mMTC,,,,estrito,2026-01-20T20:14:10.127172+00:00
dec-3ab32c73-ff1d-41d8-a602-e6aac3a57408,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:31.773778+00:00
dec-8dcf2e8e-dbc5-4c22-a4c6-d4e1b97acc90,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:30.433778+00:00
dec-96032e9d-6ab1-4736-bad0-901c46075f0f,eMBB,eMBB,,100,50,estrito,2026-01-20T20:12:48.185565+00:00
dec-806eccce-5534-4ffb-a93c-609433dac33b,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:19.458561+00:00
dec-ecbea15f-1894-4190-8d13-dc36b7755353,URLLC,URLLC,50,,,relaxado,2026-01-20T20:12:51.837789+00:00
dec-5a8ce356-ed4d-464a-b53e-159e7bbc47c3,mMTC,mMTC,,,,estrito,2026-01-20T20:12:49.387270+00:00
dec-009e5387-fd53-4afb-88ca-6e9b367a6f9c,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:50.786066+00:00
dec-64b6fc5c-bcbf-4dd2-885c-a7ac1b424675,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:38.772035+00:00
dec-8bf025cb-9abc-4ce2-b2eb-59533727d893,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:23.092252+00:00
dec-13f2311a-a396-4fb8-9118-e662a5ee7629,mMTC,mMTC,,,,estrito,2026-01-20T20:13:44.841580+00:00
dec-049b7e28-b0f0-494c-8927-342396f4d7f9,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:49.585123+00:00
dec-d792391c-c938-4653-84cb-0f3d57dee209,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:35.155211+00:00
dec-d5817f6a-94f9-446b-9c65-60b886ad1068,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:11.130438+00:00
dec-1d8253e0-bb4f-4360-a214-3521287cc4fc,mMTC,mMTC,,,,estrito,2026-01-20T20:13:02.724444+00:00
dec-0c5e4078-41c4-4854-8767-8a133195806d,mMTC,mMTC,,,,estrito,2026-01-20T20:13:35.270573+00:00
dec-db2cfc1f-99c2-4354-a8c6-4955bb39a549,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:24.273229+00:00
dec-7c06d13f-aa1e-4745-be03-f17a447f6e13,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:46.015540+00:00
dec-9cc74cc4-466e-4c58-b325-f89dc58839b4,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:16.107793+00:00
dec-2e0f8476-070c-4b69-81c4-ea15049cc6e3,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:28.022732+00:00
dec-7de8bf06-e822-49f9-b0a1-f337615f5308,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:12.533377+00:00
dec-9fb3c2ea-1d6a-4472-8a4b-57497c4cfa44,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:19.689385+00:00
dec-345a3741-f6b5-4764-9abc-8604889bc5f5,mMTC,mMTC,,,,estrito,2026-01-20T20:13:41.241728+00:00
dec-958fbd11-6d49-422f-ac93-dcaddbfe67ec,mMTC,mMTC,,,,estrito,2026-01-20T20:13:36.464387+00:00
dec-56cb8ccd-0f65-4b8e-8747-39d8d1dfefae,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:58.019896+00:00
dec-11b5bdff-8525-40d4-b1ef-a53048787db7,mMTC,mMTC,,,,estrito,2026-01-20T20:13:38.844814+00:00
